enrollment_id,course_name,enrollment_year,final_grade,hours_studied,completion_status
ENR-149081,SQL Basics,2024,B,46.78506523654907,Completed
ENR-132382,SQL Basics,2025,C,24.71564835526399,Completed
ENR-828450,SQL Basics,2024,B,35.95705316292876,Completed
ENR-950647,Statistics 101,2023,C,31.990193658375798,Completed
ENR-22267,Tableau Fundamentals,2023,D,45.717890679574936,Completed
ENR-305976,Tableau Fundamentals,2022,A,29.04588527796027,Completed
ENR-955410,Statistics 101,2024,B,19.913867848830094,Completed
ENR-451556,Statistics 101,2024,C,42.56058307257635,Completed
ENR-601261,Tableau Fundamentals,2023,A,39.983957898950194,In Progress
ENR-500090,SQL Basics,2024,D,38.11861543069335,In Progress
ENR-278209,Intro to Analytics,2024,B,32.403390123624156,Completed
ENR-492089,Statistics 101,2022,B,29.254970768412484,In Progress
ENR-878536,Tableau Fundamentals,2025,B,47.93120920091584,Completed
ENR-38528,Python for Beginners,2024,B,45.7596123407455,Dropped
ENR-806139,Tableau Fundamentals,2022,D,18.594375107382703,Completed
ENR-319917,SQL Basics,2022,D,28.928980416409175,Completed
ENR-360146,Python for Beginners,2023,C,22.46118716835185,Completed
ENR-547010,SQL Basics,2024,B,41.4674388084106,Completed
ENR-840430,Statistics 101,2025,C,17.649444349448004,Completed
ENR-506421,Intro to Analytics,2023,B,31.161295219220506,Completed
ENR-216911,Python for Beginners,2025,B,0.5716808765415244,In Progress
ENR-861166,Statistics 101,2023,B,44.19824486221795,Completed
ENR-638480,SQL Basics,2022,C,46.68018784137298,Completed
ENR-669784,Python for Beginners,2025,D,10.249047676413532,In Progress
ENR-552678,Python for Beginners,2023,C,50.14042463478395,Completed
ENR-592250,Tableau Fundamentals,2025,B,16.424052268480203,Completed
ENR-848652,Statistics 101,2023,C,35.08462287721348,In Progress
ENR-330577,Python for Beginners,2024,B,31.39518116456626,In Progress
ENR-13157,Intro to Analytics,2022,C,15.608889237522188,Completed
ENR-417582,Intro to Analytics,2025,F,17.596280831524243,In Progress
ENR-936316,Tableau Fundamentals,2025,A,29.853181187164246,Completed
ENR-806647,Python for Beginners,2023,A,21.98370619693869,Dropped
ENR-677542,Tableau Fundamentals,2025,C,47.78562638653612,Completed
ENR-537659,Tableau Fundamentals,2023,C,8.164990307350234,Completed
ENR-455487,Tableau Fundamentals,2022,B,41.150871822526156,Completed
ENR-718103,Python for Beginners,2024,D,25.146993869988762,Dropped
ENR-564678,Python for Beginners,2025,B,23.070438865481375,Completed
ENR-669361,SQL Basics,2023,B,33.917142961004856,Completed
ENR-835156,Tableau Fundamentals,2023,F,40.002785511468744,In Progress
ENR-699041,Tableau Fundamentals,2024,B,35.43506117071804,In Progress
ENR-625480,Tableau Fundamentals,2023,A,36.42069131157297,Completed
ENR-933335,Tableau Fundamentals,2024,B,30.54711780911525,Completed
ENR-873999,Intro to Analytics,2024,B,21.557152235986635,Completed
ENR-509751,Python for Beginners,2024,C,29.450390310576253,Completed
ENR-545898,Tableau Fundamentals,2023,A,73.98217334176383,Completed
ENR-700941,Python for Beginners,2023,D,57.164349283680565,Completed
ENR-439873,Statistics 101,2025,C,47.683166002772666,In Progress
ENR-392714,Tableau Fundamentals,2024,C,34.168301527343466,Completed
ENR-534843,Python for Beginners,2025,C,40.29470182440328,Completed
ENR-33388,SQL Basics,2024,B,26.26543847485802,Completed
ENR-888502,Tableau Fundamentals,2024,A,5.4744367573874655,Completed
ENR-790807,Statistics 101,2025,B,7.850356433261272,Completed
ENR-676804,Tableau Fundamentals,2023,A,16.857420204119585,In Progress
ENR-190279,Python for Beginners,2023,C,26.756399195427214,In Progress
ENR-761085,Intro to Analytics,2024,B,61.90761084626423,Completed
ENR-860031,Intro to Analytics,2025,C,22.65769812295892,Dropped
